id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26448,VAJM,medium_airport,"Jamnagar Airport",22.465499877929688,70.01260375976562,69,AS,India,IN,Gujarat,IN-GJ,GJ,Jamnagar,1,VAJM,VAJM,JGA,,,https://en.wikipedia.org/wiki/Jamnagar_Airport,"Jamnagar Air Force Station",750,2008-06-13T14:30:04+00:00
26509,VEKU,medium_airport,"Silchar Airport",24.9129009247,92.97869873050001,352,AS,India,IN,Assam,IN-AS,AS,Silchar,1,VEKU,VEKU,IXS,,http://aai.aero/allAirports/silchar_general.jsp,https://en.wikipedia.org/wiki/Silchar_Airport,"Kumbhigram Air Force Station",750,2010-09-11T09:35:03+00:00
26602,VOAT,medium_airport,"Agatti Airport",10.8237,72.176003,14,AS,India,IN,Lakshadweep,IN-LD,LD,Agatti,1,VOAT,VOAT,AGX,,,https://en.wikipedia.org/wiki/Agatti_Aerodrome,,500,2021-10-06T17:49:36+00:00
26510,VELP,medium_airport,"Lengpui Airport",23.840599,92.619698,1398,AS,India,IN,Mizoram,IN-MZ,MZ,"Aizawl (Lengpui)",1,VELP,VELP,AJL,,http://www.aai.aero/allAirports/lengpui.jsp,https://en.wikipedia.org/wiki/Lengpui_Airport,,500,2021-03-09T09:08:42+00:00
26538,VIAL,medium_airport,"Prayagraj Airport",25.4401,81.733902,322,AS,India,IN,"Uttar Pradesh",IN-UP,UP,Allahabad,1,VEAB,VEAB,IXD,VEAB,https://www.aai.aero/en/node/75695,https://en.wikipedia.org/wiki/Prayagraj_Airport,"VIAL, Allahabad Bamrauli Airport, Bamrauli Air Force Station",500,2025-06-10T15:31:16+00:00
3319,VEDH,medium_airport,"Darbhanga Airport",26.192801,85.916901,156,AS,India,IN,Bihar,IN-BR,BR,Darbhanga,1,VEDH,VEDH,DBR,VEDH,,https://en.wikipedia.org/wiki/Darbhanga_Airport,,500,2023-05-02T01:26:18+00:00
3299,VA2C,medium_airport,"Gondia Airport",21.526817,80.290347,987,AS,India,IN,Maharashtra,IN-MM,MM,Gondia,1,VAGD,VAGD,GDB,VA2C,,https://en.wikipedia.org/wiki/Gondia_Airport,Birsi,500,2025-06-10T15:29:50+00:00
26551,VICX,medium_airport,"Kanpur Airport",26.404301,80.410103,410,AS,India,IN,"Uttar Pradesh",IN-UP,UP,Kanpur,1,VEKA,,KNU,VEKA,,https://en.wikipedia.org/wiki/Kanpur_Airport,"VECX (IAF Stn), VICX, Ganesh Shankar Vidyarthi Airport, Chakeri Air Force Station",500,2024-04-01T13:29:07+00:00
26452,VAKS,medium_airport,"Keshod Airport",21.317101,70.270401,167,AS,India,IN,Gujarat,IN-GJ,GJ,Keshod,1,VAKS,VAKS,IXK,,https://www.aai.aero/en/airports/keshod,https://en.wikipedia.org/wiki/Keshod_Airport,,500,2024-04-13T01:37:49+00:00
26539,VIAM,medium_airport,"Ambala Air Force Station",30.368099,76.816704,909,AS,India,IN,Haryana,IN-HR,HR,Ambala,0,VIAM,,,VI18,,https://en.wikipedia.org/wiki/Halwara_Air_Force_Base,,250,2022-08-10T14:26:56+00:00
26622,VOPN,medium_airport,"Sri Sathya Sai Airport",14.1492996216,77.7910995483,1558,AS,India,IN,"Andhra Pradesh",IN-AP,AP,Puttaparthi,0,VOPN,VOPN,PUT,,,https://en.wikipedia.org/wiki/Sri_Sathya_Sai_Airport,,250,2016-01-10T22:35:34+00:00
312234,VEDO,small_airport,"Deoghar Airport",24.446842,86.704955,361,AS,India,IN,Jharkhand,IN-JH,JH,Deoghar,1,VEDO,VEDO,DGH,,https://www.aai.aero/en/airports/deoghar,https://en.wikipedia.org/wiki/Deoghar_Airport,,100,2023-02-16T11:52:28+00:00
26499,VEDX,small_airport,"Kalaikunda Air Force Station",22.3395,87.2145,200,AS,India,IN,"West Bengal",IN-WB,WB,,0,VEDX,VEDX,,,,https://en.wikipedia.org/wiki/Kalaikunda_Air_Force_Station,VE60,50,2025-08-20T18:59:14+00:00
512065,VAHS,large_airport,"Rajkot International Airport",22.378824,71.039391,647,AS,India,IN,Gujarat,IN-GJ,GJ,Rajkot,1,VAHS,VAHS,HSR,,,https://en.wikipedia.org/wiki/Rajkot_International_Airport,"Hirasar Airport",1000,2026-03-09T07:51:03+00:00
26521,VETZ,medium_airport,"Tezpur Airport",26.7091007232666,92.78469848632812,240,AS,India,IN,Assam,IN-AS,AS,,1,VETZ,VETZ,TEZ,,,https://en.wikipedia.org/wiki/Tezpur_Airport,"Salonibari Airport, Tezpur Air Force Station",750,2008-06-13T14:30:04+00:00
26437,VABM,medium_airport,"Belagavi Airport",15.8593,74.618301,2487,AS,India,IN,Karnataka,IN-KA,KA,Belgaum,1,VOBM,VOBM,IXG,,,https://en.wikipedia.org/wiki/Belgaum_Airport,VABM,750,2025-06-10T15:39:01+00:00
26502,VEGY,medium_airport,"Gaya Airport",24.744301,84.951202,380,AS,India,IN,Bihar,IN-BR,BR,Gaya,1,VEGY,VEGY,GAY,,,https://en.wikipedia.org/wiki/Gaya_Airport,,750,2023-04-11T00:28:47+00:00
26558,VIGR,medium_airport,"Gwalior Airport",26.29330062866211,78.22779846191406,617,AS,India,IN,"Madhya Pradesh",IN-MP,MP,Gwalior,1,VIGR,VIGR,GWL,,,https://en.wikipedia.org/wiki/Gwalior_Airport,"Maharajpur Air Force Station",750,2008-06-13T14:30:04+00:00
26456,VAPR,medium_airport,"Porbandar Airport",21.649524,69.656405,23,AS,India,IN,Gujarat,IN-GJ,GJ,Porbandar,1,VAPR,VAPR,PBD,,http://www.airportsindia.org.in/allAirports/porbander.jsp,https://en.wikipedia.org/wiki/Porbandar_Airport,,750,2021-01-25T21:28:51+00:00
317982,VEDG,medium_airport,"Kazi Nazrul Islam Airport",23.6225,87.243,300,AS,India,IN,"West Bengal",IN-WB,WB,Durgapur,1,VEDG,VEDG,RDP,,,https://en.wikipedia.org/wiki/Kazi_Nazrul_Islam_Airport,"Andal Airport, Durgapur Airport",500,2016-05-20T12:34:28+00:00
26449,VAKE,medium_airport,"Kandla Airport",23.1127,70.100304,96,AS,India,IN,Gujarat,IN-GJ,GJ,Kandla,1,VAKE,VAKE,IXY,,http://aai.aero/allAirports/kandla_generalinfo.jsp,https://en.wikipedia.org/wiki/Kandla_Airport,,500,2019-01-04T02:24:38+00:00
31996,VOMY,medium_airport,"Mysore Airport",12.229751,76.653683,2349,AS,India,IN,Karnataka,IN-KA,KA,Mysore,1,VOMY,VOMY,MYQ,,,https://en.wikipedia.org/wiki/Mysore_Airport,"Mysuru, Mandakalli airport",500,2026-01-10T20:01:16+00:00
26506,VEJS,medium_airport,"Sonari Airport",22.813706,86.168981,475,AS,India,IN,Jharkhand,IN-JH,JH,Jamshedpur,0,VEJS,VEJS,IXW,,,https://en.wikipedia.org/wiki/Sonari_Airport,,250,2025-08-20T19:26:19+00:00
3296,VA1P,small_airport,"Diu Airport",20.714185,70.921855,31,AS,India,IN,"Dadra and Nagar Haveli and Daman and Diu",IN-DH,DH,Diu,1,VADU,VADU,DIU,VADU,http://aai.aero/allAirports/diu_airpo_gi.jsp,https://en.wikipedia.org/wiki/Diu_Airport,VA1P,150,2025-06-10T15:27:09+00:00
26608,VOCC,small_airport,"INS Garuda / Willingdon Island Naval Air Station",9.946064,76.271947,8,AS,India,IN,Kerala,IN-KL,KL,Kochi,0,VOCC,,,,,https://en.wikipedia.org/wiki/INS_Garuda,"RAF Willingdon Island, Gochin, COK, Willingdon Island Air Base",125,2021-01-25T20:25:52+00:00
46518,IN-0024,small_airport,"Baramati Airport",18.226944,74.590833,1978,AS,India,IN,Maharashtra,IN-MM,MM,Pune,1,,,,BMT,,,,100,2020-03-08T01:27:07+00:00
26493,VEBK,small_airport,"Bokaro Airport",23.643499,86.148903,715,AS,India,IN,Bihar,IN-BR,BR,,0,VEBK,VEBK,,,,https://en.wikipedia.org/wiki/Bokaro_Airport,,50,2025-08-20T17:54:07+00:00
301145,IN-0077,small_airport,"Bhagalpur Airport",25.249535,87.011976,,AS,India,IN,Bihar,IN-BR,BR,Bhagalpur,0,,,,,,,,50,2022-09-09T16:06:14+00:00
26548,VIBW,small_airport,"Bhiwani Airport",28.837,76.1791,720,AS,India,IN,Haryana,IN-HR,HR,Bhiwani,0,VIBW,,,,,https://en.wikipedia.org/wiki/Bhiwani_Airport,,50,2024-06-13T08:14:20+00:00
3340,VO52,small_airport,"Harihar Airport",14.534533,75.786879,1750,AS,India,IN,Karnataka,IN-KA,KA,Harihar,0,VO52,,,VO52,,,,50,2021-03-08T10:53:54+00:00
26614,VOHK,small_airport,"Hakimpet Airport",17.553499,78.524902,2020,AS,India,IN,Telangana,IN-TG,TG,Secunderabad,0,VOHK,,,,,https://en.wikipedia.org/wiki/Helicopter_Training_School,"Hakimpeth Air Force Station, Hakimpet Air Force Station, VO28",50,2024-05-18T23:53:10+00:00
26559,VIHR,large_airport,"Maharaja Agrasen International Airport",29.186065,75.74142,700,AS,India,IN,Haryana,IN-HR,HR,Hisar,1,VIHR,VIHR,HSS,,,https://en.wikipedia.org/wiki/Hisar_Airport,Hisar,1000,2026-01-10T20:27:02+00:00
327452,VASD,large_airport,"Shirdi International Airport",19.689211,74.373655,1926,AS,India,IN,Maharashtra,IN-MM,MM,Kakadi,1,VASD,VASD,SAG,,,https://en.wikipedia.org/wiki/Shirdi_Airport,"Ahmednagar, Saibaba",1000,2026-01-10T20:08:55+00:00
342094,VOGA,large_airport,"Manohar International Airport",15.744257,73.860625,552,AS,India,IN,Goa,IN-GA,GA,Mopa,1,VOGA,VOGA,GOX,,https://www.miagoaairport.com/,https://en.wikipedia.org/wiki/Manohar_International_Airport,"Mopa International",1000,2024-05-30T06:20:36+00:00
26451,VAKP,medium_airport,"Kolhapur Airport",16.6647,74.289398,1996,AS,India,IN,Maharashtra,IN-MM,MM,Kolhapur,1,VAKP,VAKP,KLH,,,https://en.wikipedia.org/wiki/Kolhapur_Airport,,750,2023-04-11T00:38:43+00:00
26492,VEBI,medium_airport,"Shillong Airport",25.70359992980957,91.97869873046875,2910,AS,India,IN,Meghalaya,IN-ML,ML,Shillong,1,VEBI,VEBI,SHL,,,https://en.wikipedia.org/wiki/Shillong_Airport,"Barapani Airport, Barapani Air Force Station, Umroi Airport",750,2008-06-13T14:30:04+00:00
26564,VIJR,medium_airport,"Jaisalmer Airport",26.8887,70.864998,751,AS,India,IN,Rajasthan,IN-RJ,RJ,,1,VIJR,VIJR,JSA,,,https://en.wikipedia.org/wiki/Jaisalmer_Airport,"Jaisalmer Air Force Station",500,2024-03-13T08:42:46+00:00
327453,VIKG,medium_airport,"Kishangarh Airport Ajmer",26.591007,74.812956,,AS,India,IN,Rajasthan,IN-RJ,RJ,"Ajmer (Kishangarh)",1,VIKG,VIKG,KQH,,,https://en.wikipedia.org/wiki/Kishangarh_Airport,,500,2021-03-09T11:06:27+00:00
26435,VEBU,medium_airport,"Bilaspur Airport",21.9884,82.111,899,AS,India,IN,Chhattisgarh,IN-CT,CT,Bilaspur,1,VEBU,VEBU,PAB,,,https://en.wikipedia.org/wiki/Bilaspur_Airport,VABI,500,2021-03-22T19:41:31+00:00
26611,VOCP,medium_airport,"Kadapa Airport",14.513154,78.769183,430,AS,India,IN,"Andhra Pradesh",IN-AP,AP,Kadapa,1,VOCP,VOCP,CDP,,,https://en.wikipedia.org/wiki/Kadapa_Airport,Cuddapah,500,2022-09-09T12:26:41+00:00
26557,VIGG,medium_airport,"Kangra Airport",32.164902,76.263018,2525,AS,India,IN,"Himachal Pradesh",IN-HP,HP,Kangra,1,VIGG,VIGG,DHM,,https://www.aai.aero/en/airports/kangra-gaggal,https://en.wikipedia.org/wiki/Kangra_Airport,"Dharamshala, Gaggal",500,2023-04-11T12:26:48+00:00
558007,VIMB,medium_airport,"Moradabad Airport",28.81746,78.92187,637,AS,India,IN,"Uttar Pradesh",IN-UP,UP,Moradabad,1,VIMB,,MZS,,,https://en.wikipedia.org/wiki/Moradabad_Airport,,500,2024-11-13T20:18:49+00:00
26571,VIPK,medium_airport,"Pathankot Airport",32.233611,75.634444,1017,AS,India,IN,Punjab,IN-PB,PB,Pathankot,1,VIPK,VIPK,IXP,,,https://en.wikipedia.org/wiki/Pathankot_Airport,,500,2018-04-30T11:07:48+00:00
3288,VA1G,medium_airport,"Rewa Airport, Chorhata, REWA",24.503401,81.220299,1000,AS,India,IN,"Madhya Pradesh",IN-MP,MP,Rewa,1,VA1G,,REW,VA1G,,https://en.wikipedia.org/wiki/Rewa_Airport,,500,2024-04-10T16:34:16+00:00
26498,VEDB,medium_airport,"Dhanbad Airport",23.834,86.425301,847,AS,India,IN,Bihar,IN-BR,BR,,0,VEDB,VEDB,DBD,,,https://en.wikipedia.org/wiki/Dhanbad_Airport,,250,2024-03-12T00:45:55+00:00
26575,VISA,medium_airport,"Sirsa Air Force Station",29.5606,75.006104,650,AS,India,IN,Haryana,IN-HR,HR,,0,VISA,,,,,https://en.wikipedia.org/wiki/Sirsa_Air_Force_Station,,250,2024-04-22T18:15:10+00:00
26547,VIBT,medium_airport,"Bhatinda Air Force Station",30.2701,74.755798,662,AS,India,IN,Punjab,IN-PB,PB,,0,VIBT,VIBT,BUP,,,https://en.wikipedia.org/wiki/Bathinda_Airport,,250,2024-04-07T16:03:45+00:00
26516,VEPH,medium_airport,"Panagarh Air Force Station",23.474300384499998,87.4274978638,240,AS,India,IN,"West Bengal",IN-WB,WB,,0,VEPH,,,,,https://en.wikipedia.org/wiki/Panagarh_Airport,,250,2010-12-26T00:02:14+00:00
26604,VOBI,medium_airport,"Bellary Airport",15.162799835205078,76.88279724121094,30,AS,India,IN,Karnataka,IN-KA,KA,Bellary,0,VOBI,VOBI,BEP,,,https://en.wikipedia.org/wiki/Bellary_Airport,"Jindal Vijayanagar, Vijaynagar",250,2008-06-13T14:30:04+00:00
26605,VOBR,medium_airport,"Bidar Airport / Bidar Air Force Station",17.9081,77.487099,2178,AS,India,IN,Karnataka,IN-KA,KA,Bidar,0,VOBR,VOBR,IXX,,,https://en.wikipedia.org/wiki/Bidar_Airport,,250,2025-06-10T15:39:39+00:00
26613,VODG,medium_airport,"Dundigul Air Force Academy",17.627199173,78.4033966064,2013,AS,India,IN,Telangana,IN-TG,TG,Hyderabad,0,VODG,,,,,https://en.wikipedia.org/wiki/Dundigul_Air_Force_Academy,,250,2016-01-12T23:29:15+00:00
26508,VEKR,medium_airport,"Kailashahar Airport",24.308657,92.00768,79,AS,India,IN,Tripura,IN-TR,TR,Kailashahar,0,VEKR,VEKR,IXH,,,https://en.wikipedia.org/wiki/Kailashahar_Airport,,250,2021-10-29T15:13:58+00:00
